"gen","predicted.value","std.error","status"
"G002",2451.5924377638,51.7596973537896,"Estimable"
"G006",2526.77923875543,45.5871662780049,"Estimable"
"G007",2748.54140772533,68.3920684231859,"Estimable"
"G017",2665.81850347873,84.7652217852925,"Estimable"
"G018",2430.6134379974,46.357386204265,"Estimable"
"G021",2648.84061569257,65.8354063955975,"Estimable"
"G022",2666.79474055029,65.4656697064933,"Estimable"
"G023",2552.33082963067,106.618066632263,"Estimable"
"G028",2586.9245865426,83.7902865421866,"Estimable"
"G029",2724.03032170067,65.3091676582376,"Estimable"
"G030",2750.33628326848,66.1323552683446,"Estimable"
"G031",2533.2165909707,106.618066632263,"Estimable"
"G032",2640.61672199217,41.3408932993931,"Estimable"
"G033",2494.90513374214,110.964812211747,"Estimable"
"G034",2480.23271699755,63.1066705579302,"Estimable"
"G036",2506.08056225917,72.9697252593584,"Estimable"
"G037",2640.17283296448,85.0174559885441,"Estimable"
"G039",2667.99585684447,62.0534201970151,"Estimable"
"G042",2382.03010670749,86.9061487794299,"Estimable"
"G043",2517.65331216597,85.6123027588789,"Estimable"
"G044",2469.64499710671,85.2356125267871,"Estimable"
"G056",2609.60028748394,36.6029579726431,"Estimable"
"G057",2534.41073170031,56.4099217507035,"Estimable"
"G058",2392.10548497968,44.3104251952165,"Estimable"
"G059",2554.32870975854,101.928940374598,"Estimable"
"G060",2584.63072460663,101.921112837301,"Estimable"
"G061",2459.62023066739,101.921112837301,"Estimable"
"G062",2487.94922661737,101.921112837301,"Estimable"
"G063",2512.91690764974,59.5994314687198,"Estimable"
"G064",2599.01839935693,106.251056498847,"Estimable"
"G065",2498.64438135304,47.6079683305335,"Estimable"
"G068",2561.03798871485,47.3349482624776,"Estimable"
"G069",2482.33224364803,97.4959474505956,"Estimable"
"G070",2454.63992899664,58.7101031805636,"Estimable"
"G072",2452.26673049733,49.565633168432,"Estimable"
"G073",2500.92456040758,42.7426457443427,"Estimable"
"G074",2506.47201168758,61.7536322463683,"Estimable"
"G075",2414.67567873828,48.7338678370013,"Estimable"
"G076",2397.00123374283,60.1983431540172,"Estimable"
"G077",2581.20678190958,77.9155340407052,"Estimable"
"G081",2662.42688830645,68.5780519744847,"Estimable"
"G082",2603.78957646035,68.1402962527452,"Estimable"
"G084",2696.7819354394,68.7856374749207,"Estimable"
"G091",2659.25670565183,69.4418969148074,"Estimable"
"G092",2547.07650521527,40.3999665665616,"Estimable"
"G093",2847.24210189857,82.8800009125871,"Estimable"
"G095",2589.51708229456,58.1439602215837,"Estimable"
"G096",2504.80438620258,107.464587103293,"Estimable"
"G097",2525.86795111167,63.3531864553282,"Estimable"
"G098",2681.35415827524,38.7572610647265,"Estimable"
"G101",2578.92733499772,47.9292226409995,"Estimable"
"G102",2622.45384905668,112.406303291057,"Estimable"
"G103",2650.06417603327,54.2495989212711,"Estimable"
"G105",2507.76460670611,92.9968605540842,"Estimable"
"G107",2568.31031886757,49.0113733938112,"Estimable"
"G108",2631.83828677716,83.0688575326953,"Estimable"
"G109",2627.34381938375,101.384159112811,"Estimable"
"G110",2544.60324930744,100.063259251658,"Estimable"
"G111",2518.01987852811,85.3977519484597,"Estimable"
"G112",2507.25258440685,96.2582135816413,"Estimable"
"G113",2537.46924729752,100.492382190993,"Estimable"
"G116",2570.05934117269,98.7015862522369,"Estimable"
"G117",2524.62496804712,107.442629985691,"Estimable"
"G118",2524.95992153974,100.063259251658,"Estimable"
"G119",2668.63228876422,86.5542888921944,"Estimable"
"G120",2614.89272987412,85.2281920283248,"Estimable"
"G121",2576.59285506883,41.1376059991252,"Estimable"
"G122",2540.81018970143,107.464587103293,"Estimable"
"G123",2521.54197403495,107.464587103293,"Estimable"
"G124",2523.05955355377,107.442629985691,"Estimable"
"G129",2500.87421632939,83.7122591993419,"Estimable"
"G130",2365.99873866751,87.716153320046,"Estimable"
