"gen","predicted.value","std.error","status"
"G002",2322.65181500424,93.7979314455439,"Estimable"
"G006",2473.84685478602,87.4618267112126,"Estimable"
"G007",2188.92662143118,109.48252192196,"Estimable"
"G017",2714.3196153191,186.720449208365,"Estimable"
"G018",2329.5981857061,72.1406113082078,"Estimable"
"G021",2537.05011588696,103.483821788561,"Estimable"
"G022",2440.17863615744,100.859259316096,"Estimable"
"G023",2489.79143255365,230.869288935312,"Estimable"
"G028",2407.29370000865,135.037452133757,"Estimable"
"G029",2357.80205647963,100.000866278112,"Estimable"
"G030",2345.24255876591,101.756307836081,"Estimable"
"G031",2469.49932787554,230.869288935312,"Estimable"
"G032",2611.53930473591,76.2681137579934,"Estimable"
"G033",2319.69893978976,206.315071131553,"Estimable"
"G034",2334.40231353066,118.837568817392,"Estimable"
"G036",2406.01992086418,97.5051349948794,"Estimable"
"G037",2378.62918476152,120.316032484525,"Estimable"
"G039",2652.64151684403,90.045360825177,"Estimable"
"G042",2242.99350495595,157.518854023854,"Estimable"
"G043",2136.68430988615,127.694632330554,"Estimable"
"G044",2195.58902077041,129.283046092079,"Estimable"
"G056",2547.74624271966,53.1669817821759,"Estimable"
"G057",2504.69104619031,111.797494895453,"Estimable"
"G058",2156.83299184963,99.0301651211816,"Estimable"
"G059",2457.08742219184,185.249502796981,"Estimable"
"G060",2539.83084223651,183.492411306945,"Estimable"
"G061",2353.11496149142,183.492411306945,"Estimable"
"G062",2292.76304553455,183.492411306945,"Estimable"
"G063",2219.66139794686,106.781682991761,"Estimable"
"G064",2334.14387697701,204.393337740346,"Estimable"
"G065",2402.30984688283,73.1456016922882,"Estimable"
"G068",2613.51026792871,94.0103466621893,"Estimable"
"G069",2443.61091445316,230.702303727448,"Estimable"
"G070",2579.3664929033,131.289741462459,"Estimable"
"G072",2346.99616153708,102.471352046683,"Estimable"
"G073",2582.18321728434,92.3863895707959,"Estimable"
"G074",2522.91345214538,102.484670611383,"Estimable"
"G075",2232.63985236773,89.8877405109119,"Estimable"
"G076",2118.52510256582,118.033923866905,"Estimable"
"G077",2633.46368479674,161.766865328217,"Estimable"
"G081",2170.85943715705,139.615409914448,"Estimable"
"G082",2105.77338869567,136.577926919088,"Estimable"
"G084",2177.68937308228,144.692042298684,"Estimable"
"G091",2679.69466215479,178.418516991249,"Estimable"
"G092",2609.0567025892,60.6302514724565,"Estimable"
"G093",2578.03809786277,117.402170859815,"Estimable"
"G095",2586.22538970118,115.98201047415,"Estimable"
"G096",2287.92878556049,186.506623563885,"Estimable"
"G097",2569.21844164545,117.744136701692,"Estimable"
"G098",2745.06101898269,60.2370965052456,"Estimable"
"G101",2754.25357222018,76.2475260764636,"Estimable"
"G102",2350.60752084339,200.367444105168,"Estimable"
"G103",2566.49079710413,89.3587656476046,"Estimable"
"G105",2476.41453115373,196.584031093984,"Estimable"
"G107",2685.70020580646,105.913145612279,"Estimable"
"G108",2455.42902085688,116.190287624401,"Estimable"
"G109",2505.73170379215,209.476904891786,"Estimable"
"G110",2479.61131811398,234.541121232173,"Estimable"
"G111",2492.24994328952,184.793709361196,"Estimable"
"G112",2473.61784463487,158.042600546212,"Estimable"
"G113",2458.31625951325,234.668996698561,"Estimable"
"G116",2478.61574978177,232.349916022374,"Estimable"
"G117",2395.21471890197,184.017231701869,"Estimable"
"G118",2451.43880235474,234.541121232173,"Estimable"
"G119",2102.45319669293,120.316032484525,"Estimable"
"G120",2492.40753049431,123.578602407585,"Estimable"
"G121",2488.72394144501,77.1737700191873,"Estimable"
"G122",2431.14875536689,186.506623563929,"Estimable"
"G123",2295.93362227309,186.506623563929,"Estimable"
"G124",2286.09932942024,184.017231701869,"Estimable"
"G129",2450.87999891729,115.539497209652,"Estimable"
"G130",2182.01813589809,186.837396882698,"Estimable"
"G131",2086.08608842959,191.911983197368,"Estimable"
"G132",2387.47316461821,186.941275521923,"Estimable"
"G133",2300.99223117639,113.321568655448,"Estimable"
"G136",2596.71078557547,72.2014690613562,"Estimable"
"G137",2664.24124133517,94.0416470145945,"Estimable"
"G138",2844.1696024796,76.9674249327919,"Estimable"
"G141",2790.90065331181,93.9253298231802,"Estimable"
"G142",2862.37804905225,92.220020879703,"Estimable"
"G143",2780.00624941078,80.0351646465014,"Estimable"
"G144",2555.99258819694,109.343608967593,"Estimable"
"G145",2756.75987382152,73.9042897682057,"Estimable"
"G146",2537.42981421141,61.7067267659847,"Estimable"
"G147",2681.32953162527,166.104709453229,"Estimable"
"G148",2722.19151471185,135.262712841987,"Estimable"
"G151",2349.3203378116,137.378361884623,"Estimable"
"G152",2286.83335982706,137.857968153731,"Estimable"
"G153",2256.09232323607,137.857968153731,"Estimable"
"G154",2322.85809843991,137.378361884623,"Estimable"
"G155",2208.46140721556,138.054146519052,"Estimable"
"G157",2326.23691215386,101.762438214987,"Estimable"
"G160",2707.85188059661,105.446326010318,"Estimable"
"G182",2583.26443380281,100.152157645207,"Estimable"
"G186",2219.95827848979,198.568413682148,"Estimable"
"G188",2604.56762159212,57.7358668519613,"Estimable"
"G191",2577.2733258034,186.941275521923,"Estimable"
"G193",2506.47610126547,97.5735288706011,"Estimable"
"G194",2750.45964679154,143.07917441649,"Estimable"
"G196",2643.60553074856,181.973245455691,"Estimable"
"G198",2533.70291121357,103.885689439276,"Estimable"
"G199",2311.27406456691,119.447059701759,"Estimable"
"G203",2492.48325117275,183.492411306909,"Estimable"
"G204",2706.70788209152,93.313033439033,"Estimable"
"G206",2433.46520037375,94.1902984395021,"Estimable"
"G207",2643.43219871483,166.204353291261,"Estimable"
"G208",2301.06327125333,140.707127310741,"Estimable"
"G210",2664.45198672817,144.694926640461,"Estimable"
"G212",2391.66293918215,183.492411306909,"Estimable"
"G214",2763.45097614671,94.0113702407809,"Estimable"
"G215",2535.19162385653,90.0255405907297,"Estimable"
"G216",2707.21806898664,94.2561512404857,"Estimable"
"G219",2725.40748282657,101.756937379347,"Estimable"
"G233",2781.13798970206,52.606393319817,"Estimable"
"G234",2362.29751017572,183.492411306909,"Estimable"
"G235",2605.27048422514,136.564648178606,"Estimable"
"G238",2639.11901594534,207.096902569951,"Estimable"
