gen,env,predicted.value,std.error,status
G002,E0137,3231.5212617732686,269.0116872140317,Estimable
G002,E0138,3819.8443490757627,268.9630087465766,Estimable
G002,E0139,3327.2347751824996,268.94569826704515,Estimable
G002,E0140,2373.5333708148873,268.9726480764843,Estimable
G002,E0154,3646.5018969637567,463.01997771019825,Estimable
G002,E0155,1838.7711053665314,462.4622217424831,Estimable
G002,E0156,2653.674044180382,463.14120499655513,Estimable
G002,E0157,1821.091072487905,462.5716930754695,Estimable
G002,E0158,2252.8379946876366,462.3329077959198,Estimable
G002,E0159,2627.16577698404,462.5542953361563,Estimable
G002,E0160,1024.231475820375,462.38165367197183,Estimable
G002,E0161,2890.0163891501875,462.75019568175657,Estimable
G002,E0162,2185.2586198786003,462.2656030639609,Estimable
G002,E0198,2637.022176764475,462.6409037763773,Estimable
G002,E0199,1646.5421567069086,462.805325772246,Estimable
G002,E0200,2682.949371686251,462.4504353841462,Estimable
G002,E0201,2717.7393644651925,462.3108743158246,Estimable
G002,E0214,3358.625203513176,467.6148205595467,Estimable
G002,E022,NA,NA,Aliased
G002,E023,NA,NA,Aliased
G002,E024,NA,NA,Aliased
G002,E0248,1693.4521994724237,363.41789403067725,Estimable
G002,E0249,4532.587466878559,274.2786751693273,Estimable
G002,E025,NA,NA,Aliased
G002,E0250,2482.656639208766,269.4864648923365,Estimable
G002,E0251,1593.6165786924864,269.4772541172266,Estimable
G002,E0266,2970.952406274988,270.724579657119,Estimable
G002,E0267,2496.2364475405125,271.17959979028683,Estimable
G002,E0271,2692.9117164825793,466.20988593810324,Estimable
G002,E0272,1924.2923654546225,466.763194565273,Estimable
G002,E0274,4089.390810486246,465.6640646358657,Estimable
G002,E0289,3427.9177321615493,270.254254525734,Estimable
G002,E029,1265.6107406546223,466.2366481516486,Estimable
G002,E0290,2409.6038799850007,270.44607234934773,Estimable
G002,E0292,2947.303629581619,306.66718188195404,Estimable
G002,E030,2616.7657172166896,465.7405509910501,Estimable
G002,E031,1573.19715759867,465.3897919463523,Estimable
G002,E032,1984.5720330845625,465.88437046199977,Estimable
G002,E033,2114.049578782084,465.52729821230923,Estimable
G002,E034,2784.449595113324,474.1949431483166,Estimable
G002,E035,2132.413827988029,468.54877465743533,Estimable
