"","gen","predicted.value","std.error","status"
"1","G002",52.2891688408964,2.19860753866798,"Estimable"
"2","G006",52.7091561065572,2.07167672734254,"Estimable"
"3","G007",46.9946776700752,2.84288343178175,"Estimable"
"4","G017",55.3322371531635,4.64601754952932,"Estimable"
"5","G018",55.0100199884086,1.602817024046,"Estimable"
"6","G021",59.5448580137158,2.43819263681575,"Estimable"
"7","G022",49.7855694480921,2.27057099870733,"Estimable"
"8","G023",55.9196774190852,8.30715880335545,"Estimable"
"9","G028",55.5819156756682,3.11926659111992,"Estimable"
"10","G029",46.9653960167743,2.27749516856328,"Estimable"
"11","G030",41.4122527084518,2.27380654829539,"Estimable"
"12","G031",72.1257265224884,8.30715880335545,"Estimable"
"13","G032",60.7533022591588,1.85477627546592,"Estimable"
"14","G033",69.4444834602796,8.30839981433124,"Estimable"
"15","G034",59.3841943199973,2.43066321600617,"Estimable"
"16","G036",45.4862852062097,2.14550227127422,"Estimable"
"17","G037",58.1227386803668,2.70897242290142,"Estimable"
"18","G039",57.6212494704831,1.90276736393906,"Estimable"
"19","G042",65.0220903172761,3.81006849529179,"Estimable"
"20","G043",31.2452296708593,2.83948636552233,"Estimable"
"21","G044",33.605296401459,2.85093807793093,"Estimable"
"22","G056",57.9732596487256,1.29590975574915,"Estimable"
"23","G057",70.0107555183236,3.00191659379079,"Estimable"
"24","G058",65.0979627114267,2.54932326461629,"Estimable"
"25","G059",66.0572212084796,5.33204518265979,"Estimable"
"26","G060",90.2358210229326,4.672600852772,"Estimable"
"27","G061",92.3374685481719,4.67237635384354,"Estimable"
"28","G062",89.7739981879952,5.33124086371099,"Estimable"
"29","G063",85.6111011941502,2.52855725227508,"Estimable"
"30","G064",80.9648020413935,8.54175190083892,"Estimable"
"31","G065",70.18023715453,1.48884395971554,"Estimable"
"32","G068",52.8205929630554,2.07253658442707,"Estimable"
"33","G069",63.8365157811576,5.25570055295223,"Estimable"
"34","G070",74.4191417527958,3.16752481473552,"Estimable"
"35","G072",58.4102492495332,2.60462705641793,"Estimable"
"36","G073",55.6502090216605,2.13787562120789,"Estimable"
"37","G074",71.397589310457,1.94758454067574,"Estimable"
"38","G075",56.6926943627318,2.06567445778868,"Estimable"
"39","G076",54.8394781772478,3.14288398523905,"Estimable"
"40","G077",62.9067109682368,4.14430143480688,"Estimable"
"41","G081",107.638844940544,4.18585400200622,"Estimable"
"42","G082",104.899746356423,3.83805266603659,"Estimable"
"43","G084",104.239670937774,3.56331502306913,"Estimable"
"44","G091",72.5186359459691,3.5414550442288,"Estimable"
"45","G092",75.0474138914689,1.44754590573142,"Estimable"
"46","G093",42.1768562984977,2.83811232004364,"Estimable"
"47","G095",77.1361458813507,2.45537767310384,"Estimable"
"48","G096",73.0486799791498,6.31223684415042,"Estimable"
"49","G097",71.9308413101222,2.42444661409433,"Estimable"
"50","G098",57.5715432191331,1.45245424670972,"Estimable"
"51","G101",56.2912502401371,1.63199988989569,"Estimable"
"52","G102",64.5437457132713,5.20559097446586,"Estimable"
"53","G103",57.8173579547419,2.09313710568822,"Estimable"
"54","G105",63.0076428515184,5.26804030285535,"Estimable"
"55","G107",62.2943841320748,2.32059175892822,"Estimable"
"56","G108",36.2550420812141,2.61390403677816,"Estimable"
"57","G109",56.5475275303241,5.36943383973513,"Estimable"
"58","G110",65.6166230022189,6.25567298686421,"Estimable"
