"Ambiente","Cluster"
"E0137",1
"E0138",1
"E0139",2
"E0140",3
"E0154",2
"E0155",3
"E0156",1
"E0157",3
"E0158",3
"E0159",1
"E0160",3
"E0161",1
"E0162",3
"E0198",1
"E0199",3
"E0200",1
"E0201",1
"E0214",2
"E0248",3
"E0249",2
"E0250",1
"E0251",3
"E0266",1
"E0267",1
"E0271",1
"E0272",3
"E0274",2
"E0289",2
"E029",3
"E0290",1
"E0292",2
"E030",1
"E031",3
"E032",3
"E033",3
"E034",1
"E035",3
"E036",3
"E075",2
"E076",3
"E077",1
"E078",3
"E079",3
"E092",3
"E093",1
"E094",3
"E095",3
"E096",3
"E097",1
"E098",3
"E099",1
