"";"X.2";"X.1";"X";"COUNTRY";"YEAR";"env";"gen";"loc";"SEASON";"rep";"check";"PL_EMERG_COUNT";"PL_EMERG_PCT";"FLW_DAYS";"FLW_CL";"PUB_CL";"NDM";"LOD";"PODDING_MAT";"Pod_Shattering";"PH_R8";"W100G";"GY";"R6_BB_Sev";"R6_BP_Sev";"R6_BS_Sev";"R6_BTS_Sev";"R6_CLB_Sev";"R6_DM_Sev";"R6_MLS_Sev";"R6_FELS_Sev";"R6_RLB_Sev";"R6_RUST_Sev";"R6_RUST_RRT";"R6_Others_Sev";"PROT";"OIL";"SOWING";"HARVEST";"LAT";"LON";"ELEV";"RAINFED";"SOURCE";"COMPANY";"media";"DP";"outlier";"bloco"
"1";1;1;1;"Malawi";"2018";"E022";"G065";"L017";"1";1;1;0;0;47;NA;NA;133;1;0;1;86;17;3867,5;1;1;0;0;0;0;0;1;0;2;0;1;40,8;22,29;"25/07/2018";"24/12/2018";-13,672;32,659;1100;"Rainfed";"Department of Agricultural Research Services DARS";"Public";2963,41408450704;610,938913545787;FALSE;"1"
"2";2;2;2;"Malawi";"2018";"E022";"G091";"L017";"1";1;0;0;0;53;NA;NA;133;1;0;1;86,6;17;3214,7;1;1;0;0;0;0;0;1;0;1;0;1;41,98;22,51;"25/07/2018";"24/12/2018";-13,672;32,659;1100;"Rainfed";"SeedCo";"Private";2963,41408450704;610,938913545787;FALSE;"1"
"3";3;3;3;"Malawi";"2018";"E022";"G074";"L017";"1";1;1;0;0;49;NA;NA;116;1;0;2;72,1;15;3274,9;1;1;0;0;0;0;0;1;0;1;0;1;41,7;21,09;"25/07/2018";"24/12/2018";-13,672;32,659;1100;"Rainfed";"Department of Agricultural Research Services DARS";"Public";2963,41408450704;610,938913545787;FALSE;"1"
"4";4;4;4;"Malawi";"2018";"E022";"G037";"L017";"1";1;0;0;0;43;NA;NA;109;1;0;2;67,4;17;2460,2;1;1;0;0;0;0;0;1;0;1;0;1;40,68;25,26;"25/07/2018";"24/12/2018";-13,672;32,659;1100;"Rainfed";"Kenya Agricultural  Livestock Research Organization KALRO";"Public";2963,41408450704;610,938913545787;FALSE;"1"
"5";5;5;5;"Malawi";"2018";"E022";"G112";"L017";"1";1;0;0;0;45;NA;NA;115;1;0;2;39;20;2737,3;1;1;0;0;0;0;0;1;0;1;0;1;40,83;24,27;"25/07/2018";"24/12/2018";-13,672;32,659;1100;"Rainfed";"University of Missouri";"Public";2963,41408450704;610,938913545787;FALSE;"1"
"6";6;6;6;"Malawi";"2018";"E022";"G061";"L017";"1";1;0;0;0;59;NA;NA;134;3;0;2;118,6;23;2432,1;1;1;0;0;0;0;0;1;0;1;0;1;42,18;21,8;"25/07/2018";"24/12/2018";-13,672;32,659;1100;"Rainfed";"Makerere University";"Public";2963,41408450704;610,938913545787;FALSE;"1"
"7";7;7;7;"Malawi";"2018";"E022";"G365";"L017";"1";1;1;0;0;49;NA;NA;111;1;0;2;70;14;3299,3;1;1;0;0;0;0;0;1;0;1;0;1;40,54;21,34;"25/07/2018";"24/12/2018";-13,672;32,659;1100;"Rainfed";"Department of Agricultural Research Services DARS";"Public";2963,41408450704;610,938913545787;FALSE;"1"
"8";8;8;8;"Malawi";"2018";"E022";"G056";"L017";"1";1;0;0;0;47;NA;NA;113;1;0;1;82,2;18;3363;1;1;0;0;0;0;0;1;0;3;0;1;39,97;22,11;"25/07/2018";"24/12/2018";-13,672;32,659;1100;"Rainfed";"ZamSeed";"Private";2963,41408450704;610,938913545787;FALSE;"1"
"9";9;9;9;"Malawi";"2018";"E022";"G212";"L017";"1";1;0;0;0;59;NA;NA;141;2;0;1;96,8;20;2780,6;1;1;0;0;0;0;0;1;0;1;0;1;40,46;22,67;"25/07/2018";"24/12/2018";-13,672;32,659;1100;"Rainfed";"International Institute of Tropical Agriculture IITA";"Public";2963,41408450704;610,938913545787;FALSE;"1"
"10";10;10;10;"Malawi";"2018";"E022";"G182";"L017";"1";1;0;0;0;51;NA;NA;116;1;0;2;94,4;16;3551,6;1;1;0;0;0;0;0;1;0;1;0;1;40,97;21,24;"25/07/2018";"24/12/2018";-13,672;32,659;1100;"Rainfed";"International Institute of Tropical Agriculture IITA";"Public";2963,41408450704;610,938913545787;FALSE;"1"
