"","gen","predicted.value","std.error","status"
"1","G002",2254.5776045688,97.6582734416088,"Estimable"
"2","G003",1872.22271004199,120.254419958781,"Estimable"
"3","G006",2354.91645039373,78.6767068472345,"Estimable"
"4","G007",2121.4214468612,103.191927920573,"Estimable"
"5","G017",3029.50543665191,221.899795866392,"Estimable"
"6","G018",2329.05222385819,66.5456139881572,"Estimable"
"7","G021",2565.60006466974,98.3945149542826,"Estimable"
"8","G022",2442.70096485328,98.3945149542826,"Estimable"
"9","G023",2386.09365838216,305.752242778778,"Estimable"
"10","G028",2281.10776344746,155.718904125569,"Estimable"
"11","G029",2343.09247587009,98.7388017962036,"Estimable"
"12","G030",2307.14917728868,98.7701114752106,"Estimable"
"13","G031",1721.78613744991,116.38198405388,"Estimable"
"14","G032",2587.51157440751,69.8524363937268,"Estimable"
"15","G033",2546.67334353539,286.500211243341,"Estimable"
"16","G034",2339.62207246154,84.7354864736053,"Estimable"
"17","G036",2379.78416250659,96.0404013005745,"Estimable"
"18","G037",2303.90007078681,120.550497691171,"Estimable"
"19","G039",2518.46693984575,86.9857278624126,"Estimable"
"20","G042",1910.71133732167,182.183287060785,"Estimable"
"21","G043",1898.83383949249,121.157010674176,"Estimable"
"22","G044",1885.04825653729,121.291829693631,"Estimable"
"23","G056",2497.52919364504,48.0260878619746,"Estimable"
"24","G057",2414.86870441071,154.256803584663,"Estimable"
"25","G058",2272.11447735225,80.1560062172803,"Estimable"
"26","G059",2296.11186950254,105.38358202124,"Estimable"
"27","G060",2410.4803587014,104.42663550816,"Estimable"
"28","G061",2314.31843586616,104.42663550816,"Estimable"
"29","G062",2209.61826130353,104.42663550816,"Estimable"
"30","G063",2317.07862936301,80.4543473830668,"Estimable"
"31","G064",2154.19041207989,269.788588223239,"Estimable"
"32","G065",2459.11293035744,62.6602367959425,"Estimable"
"33","G068",2392.06107143552,77.8792942507518,"Estimable"
"34","G069",2214.08440590377,229.99431806816,"Estimable"
"35","G070",2406.08512178886,86.6244227528419,"Estimable"
"36","G072",2242.61667441268,134.44656544304,"Estimable"
"37","G073",2486.81636493147,80.2390209002411,"Estimable"
"38","G074",2449.06103536775,75.8678097670617,"Estimable"
"39","G075",2245.38631634834,79.3935406516517,"Estimable"
"40","G076",1776.8082328508,159.303042614208,"Estimable"
"41","G077",2681.98868391864,211.617394945816,"Estimable"
"42","G081",2172.78678359679,120.028101612258,"Estimable"
"43","G082",2166.83223230446,120.028101612258,"Estimable"
"44","G084",2065.30288946812,120.028101612258,"Estimable"
"45","G089",1919.27534683631,115.938595811418,"Estimable"
"46","G091",2622.14077789597,91.1732207760918,"Estimable"
"47","G092",2599.10699351925,51.5780904639174,"Estimable"
"48","G093",2626.06969229827,121.291829693631,"Estimable"
"49","G094",2443.48865031197,115.575085702464,"Estimable"
"50","G095",2589.35626042438,103.684223863492,"Estimable"
"51","G096",2304.03571096133,105.758200933073,"Estimable"
"52","G097",2703.51269892168,99.1618625898684,"Estimable"
"53","G098",2738.86160580121,57.4607403725518,"Estimable"
"54","G101",2776.31564827833,68.3292309326183,"Estimable"
"55","G102",2066.10293242305,262.132689529589,"Estimable"
"56","G103",2508.50372043106,83.8656308733467,"Estimable"
"57","G105",2241.77332423825,223.045051596789,"Estimable"
"58","G107",2799.96001270489,85.1820845320538,"Estimable"
"59","G108",2374.74129834923,121.13869646226,"Estimable"
"60","G109",2638.90967184129,246.056495014372,"Estimable"
"61","G110",2323.36256377902,234.4921600135,"Estimable"
"62","G111",2339.48144911105,225.224758858724,"Estimable"
"63","G112",2420.02267429422,153.454091472731,"Estimable"
"64","G113",2283.69363891245,226.783708555647,"Estimable"
"65","G116",2439.48860217676,225.517083948923,"Estimable"
"66","G117",2338.02369881927,161.367565796965,"Estimable"
"67","G118",2295.96264365047,234.4921600135,"Estimable"
"68","G119",1997.62660985311,120.550497691171,"Estimable"
"69","G120",2383.56650045463,120.550497691171,"Estimable"
"70","G121",2585.43215981248,70.2071687790716,"Estimable"
